market,year,stock_nom,bond_nom,cpi
uk,1966,-3.8407,4.2149,4.0
uk,1967,34.1902,2.3494,2.2436
uk,1968,48.1952,-2.3348,3.9969
uk,1969,-11.8731,-0.2488,5.1997
uk,1970,-3.4857,3.4527,6.5186
uk,1971,46.6016,26.908,9.4149
uk,1972,16.3745,-4.1294,7.1911
uk,1973,-28.0009,-8.7871,9.3463
uk,1974,-50.1952,-15.768,15.7315
uk,1975,149.6069,36.1257,22.7005
uk,1976,2.3265,13.8826,15.6573
uk,1977,48.5602,45.5556,14.9425
uk,1978,8.6659,-2.5752,7.4722
uk,1979,11.4814,4.1836,11.3724
uk,1980,34.8331,19.1252,15.1543
uk,1981,13.6274,9.9868,11.8098
uk,1982,28.492,53.5222,8.111
uk,1983,28.7792,7.8283,4.935
uk,1984,31.5741,3.7561,4.258
uk,1985,20.1366,19.9184,4.9223
uk,1986,27.2176,12.539,3.3261
uk,1987,8.6509,17.8991,3.2049
uk,1988,11.484,6.8684,3.7592
uk,1989,35.4682,8.21,5.2376
uk,1990,-9.6108,8.2109,6.9727
uk,1991,20.8054,18.4824,7.5326
uk,1992,19.8887,20.0163,4.2615
uk,1993,27.5481,22.7906,2.5065
uk,1994,-5.9496,-10.413,1.9785
uk,1995,23.021,17.5601,2.6565
uk,1996,15.8099,7.7644,2.4003
uk,1997,23.5671,16.7595,1.8246
uk,1998,13.674,21.1694,1.5574
uk,1999,23.799,-4.1475,1.3287
uk,2000,-5.9403,9.7945,0.7965
uk,2001,-13.2198,2.9549,1.2335
uk,2002,-22.2603,10.2087,1.2589
uk,2003,20.1757,2.1114,1.3616
uk,2004,12.595,6.6381,1.3435
uk,2005,21.6436,8.5014,2.0569
uk,2006,16.4316,-0.502,2.3287
uk,2007,5.0815,6.2061,2.3228
uk,2008,-29.7511,15.9729,3.6019
uk,2009,28.952,-1.5164,2.1653
uk,2010,14.1579,10.1185,3.2982
uk,2011,-3.4273,18.4079,4.4637
uk,2012,12.1456,3.8486,2.8282
uk,2013,20.5382,-6.1271,2.5648
uk,2014,1.1954,15.5964,1.461
uk,2015,1.0999,0.7676,0.0401
uk,2016,15.41,7.1265,0.6597
uk,2017,14.07,3.7439,2.7
uk,2018,-9.55,2.233,2.5
uk,2019,18.38,5.7202,1.8
uk,2020,-9.44,5.7524,0.9
uk,2021,18.3,-5.2,4.1
uk,2022,0.3,-23.8,11.6
uk,2023,7.9,3.7,7.3
uk,2024,9.5,-3.5,3.6
uk,2025,11.5,2.0,3.5
germany,1871,37.3252,14.1904,4.5045
germany,1872,13.3467,4.9743,6.0345
germany,1873,-9.7365,6.4562,5.6911
germany,1874,-3.5791,6.1976,0.7692
germany,1875,-8.1555,4.7439,-5.3435
germany,1876,7.5686,4.0216,0.8065
germany,1877,0.7355,3.8433,-1.6
germany,1878,9.3656,5.012,-3.252
germany,1879,33.3046,5.9519,-2.521
germany,1880,12.8148,6.5212,4.3103
germany,1881,17.5136,4.6946,-1.6529
germany,1882,-0.3735,4.2355,0.8403
germany,1883,8.3662,4.6307,-3.3333
germany,1884,6.5524,5.0992,-0.8621
germany,1885,1.0079,5.1388,-2.6087
germany,1886,9.613,5.3658,-0.8929
germany,1887,0.6245,3.3851,0.0
germany,1888,16.5832,5.7114,0.9009
germany,1889,17.2782,3.0128,3.5714
germany,1890,-4.3402,0.0945,2.5862
germany,1891,-4.2406,3.3853,1.6807
germany,1892,5.6863,4.6211,-0.8264
germany,1893,4.5284,3.6572,-5.8333
germany,1894,16.9764,8.4797,-1.7699
germany,1895,13.1859,4.6782,1.8018
germany,1896,8.8972,2.424,0.885
germany,1897,7.7654,2.0682,1.7544
germany,1898,8.9692,0.8859,0.0
germany,1899,3.7263,-1.4999,2.5862
germany,1900,-6.7257,2.691,2.521
germany,1901,3.8567,6.2203,0.0
germany,1902,8.6807,4.0764,0.8197
germany,1903,10.0975,3.315,0.0
germany,1904,12.4723,2.7774,0.0
germany,1905,8.8285,2.7354,3.252
germany,1906,5.8563,1.7609,5.5118
germany,1907,2.507,0.3328,-0.7463
germany,1908,2.0598,5.7572,0.0
germany,1909,14.0282,3.4414,3.0075
germany,1910,7.81,3.3985,3.6496
germany,1911,5.2489,2.4637,0.0
germany,1912,5.9383,0.179,1.4085
germany,1913,4.0864,2.2682,0.6944
germany,1914,-8.573,4.5501,2.7586
germany,1915,9.8159,6.5365,25.5034
germany,1916,15.3507,4.3195,31.5508
germany,1917,23.3723,3.1542,50.0
germany,1918,-26.5948,3.8629,23.0352
germany,1919,59.0097,6.7362,32.8194
germany,1920,68.5028,12.0006,145.4395
germany,1921,123.8193,43.1718,31.0811
germany,1922,2069.4435,4.7298,1023.7113
germany,1923,263907481600.0,6.1141,105709670324.3354
germany,1924,4.1484,6.8275,729.1767
germany,1925,-34.7819,6.7294,9.375
germany,1926,137.7604,4.8268,0.7143
germany,1927,-7.3908,4.7134,4.9645
germany,1928,11.1629,5.3088,2.7027
germany,1929,-22.215,4.6712,1.3158
germany,1930,-27.1952,6.8387,-3.8961
